Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
53549,0.0,0.0,26408.25116173637,-1,53,17,8823,0.0,226.68026748271564
53604,0.0,0.0,6959.430297798877,-1,53,17,18536,0.0,107.8981441519206
59556,0.0,0.0,16593.954502960423,-1,53,17,12836,0.0,155.8117793705204
54043,0.0,0.0,7268.625853750234,-1,53,17,15959,0.0,125.3211354094868
52075,0.0,0.0,30541.168065726026,-1,53,17,5599,0.0,357.2066440435792
40685,0.0,0.0,26838.132513279284,-1,53,17,10731,0.0,186.37592023110616
49035,0.0,0.0,15118.089800155722,-1,53,17,15412,0.0,129.76901116013497
50864,0.0,0.0,27967.436974789915,-1,53,17,7616,0.0,262.6050420168067
41844,0.0,0.0,30667.70186335404,-1,53,17,7728,0.0,258.79917184265014
38155,0.0,0.0,15494.23207419136,-1,53,17,8842,0.0,226.19316896629724
42545,0.0,0.0,18790.72586755569,-1,53,17,6599,0.0,303.07622367025306
49812,0.0,0.0,4006.5291586288768,-1,53,17,26956,0.0,74.19498441905327
39762,1357.0,5404.0,72957.48273044227,-1,443,17,537217,586.1593049412683,83.76503349670618
47102,0.0,0.0,21105.82639714625,-1,53,17,10092,0.0,198.1767736821245
46419,0.0,0.0,10006.253908692934,-1,53,17,19188,0.0,104.23181154888472
58104,517.0,782.0,7723.638383300741,-1,443,6,1037076,163.33115644807842,20.2492392071555
48387,0.0,0.0,13629.842180774747,-1,53,17,8364,0.0,239.12003825920613
54240,620.0,1340.0,1411.7941590383743,-1,443,6,3786671,243.8223966560724,5.017599891831109
36729,1357.0,2409.0,5703.211216956149,-1,443,17,2028857,338.5308173353119,16.758204249979176
44989,0.0,0.0,13490.099009900989,-1,53,17,16160,0.0,123.76237623762376
49732,0.0,0.0,27817.814932257137,-1,53,17,6938,0.0,288.2675122513693
36898,413.0,2890.0,402.6564696826976,-1,80,6,19378802,213.198655405391,1.5996860899863676
52684,296.0,866.0,18377.96674704912,-1,443,6,551530,100.05043599899874,48.954725944191615
