Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
0,0.0,0.0,0.0,-1,0,0,1029220,0.0,3.886438273644119
0,0.0,0.0,0.0,-1,0,0,686020,0.0,4.373050348386345
0,0.0,0.0,0.0,-1,0,0,286917,0.0,13.941314038554705
0,0.0,0.0,0.0,-1,0,0,1068,0.0,4681.647940074907
0,0.0,0.0,0.0,-1,0,0,14286736,0.0,0.2099849818740963
0,0.0,0.0,0.0,-1,0,0,12152341,0.0,0.3291546871504017
0,0.0,0.0,0.0,-1,0,0,23540,0.0,84.96176720475786
0,0.0,0.0,0.0,-1,0,0,608436,0.0,4.930674713527799
0,0.0,0.0,0.0,-1,0,0,10672,0.0,187.40629685157424
0,0.0,0.0,0.0,-1,0,0,4562387,0.0,1.9726515966313247
0,0.0,0.0,0.0,-1,0,0,143540,0.0,13.933398355858994
0,0.0,0.0,0.0,-1,0,0,4975186,0.0,0.4019950208896712
443,0.0,0.0,0.0,-1,49964,6,92995633,0.0,0.0860255448769298
0,0.0,0.0,0.0,-1,0,0,1172468,0.0,1.7058034846153582
0,0.0,0.0,0.0,-1,0,0,2688365,0.0,0.743946599513087
0,0.0,0.0,0.0,-1,0,0,24974,0.0,80.08328661808281
0,0.0,0.0,0.0,-1,0,0,1257591,0.0,1.5903421700696014
0,0.0,0.0,0.0,-1,0,0,582,0.0,3436.426116838488
0,0.0,0.0,0.0,-1,0,0,696993,0.0,2.869469277309815
0,0.0,0.0,0.0,-1,0,0,5026132,0.0,3.382322629011733
0,0.0,0.0,0.0,-1,0,0,64160,0.0,46.75810473815461
0,0.0,0.0,0.0,-1,0,0,1153,0.0,6071.118820468344
0,0.0,0.0,0.0,-1,0,0,616461,0.0,6.488650539125751
0,0.0,0.0,0.0,-1,0,0,7043570,0.0,0.7098672974074227
0,0.0,0.0,0.0,-1,0,0,1660645,0.0,1.2043513213239434
0,0.0,0.0,0.0,-1,0,0,83163223,0.0,0.1803681899149098
0,0.0,0.0,0.0,-1,0,0,19533075,0.0,0.1535856489569614
0,0.0,0.0,0.0,-1,0,0,729896,0.0,6.850291000361695
62841,0.0,0.0,784.7990461673131,-1,19302,17,66259,0.0,30.18457869874281
0,0.0,0.0,0.0,-1,0,0,410073,0.0,12.192951011161426
0,0.0,0.0,0.0,-1,0,0,888569,0.0,2.2508100102524398
0,0.0,0.0,0.0,-1,0,0,16474246,0.0,0.849811275126036
63106,20.0,20.0,657.7782275406684,-1,19302,17,158108,0.0,25.299162597718016
0,0.0,0.0,0.0,-1,0,0,7658363,0.0,0.2611524159928173
0,0.0,0.0,0.0,-1,0,0,651875,0.0,10.738255033557047
0,0.0,0.0,0.0,-1,0,0,451752,0.0,13.281623545662224
0,0.0,0.0,0.0,-1,0,0,106679,0.0,18.747832281892407
0,0.0,0.0,0.0,-1,0,0,45895213,0.0,0.1525213533707753
0,0.0,0.0,0.0,-1,0,0,24875130,0.0,0.2010039746525947
50556,0.0,0.0,1232.7825324198095,-1,19302,17,42181,0.0,47.4147127853773
0,0.0,0.0,0.0,-1,0,0,45586243,0.0,0.1535550977517493
0,0.0,0.0,0.0,-1,0,0,27476062,0.0,0.1455812699796644
0,0.0,0.0,0.0,-1,0,0,250791,0.0,7.974767834571416
50072,1251.0,13458.0,165.92824864758845,-1,443,6,96035486,436.01068331680426,0.9163279498580348
62861,0.0,0.0,1297.599441034087,-1,19302,17,40074,0.0,49.90767080900335
52182,0.0,0.0,154.8259122588415,-1,53,17,1750353,0.0,1.1426266587368377
0,0.0,0.0,0.0,-1,0,0,44340038,0.0,0.112764901103603
0,0.0,0.0,0.0,-1,0,0,223660,0.0,17.88428865241885
